COUNTRY,RETAILER,RETAILER_UPC,RETAILER_UPC_DESC,RETAILER_UPC_UOM_FACTOR,RETAILER_ITEM_CODE,RETAILER_NBR,MATERIAL,BASE_UOM,BASE_UOM_UPC,MATERIAL_DIST_CHNL_STATUS,MATERIAL_DIST_CHNL_STATUS_RANK,MATERIAL_BASE_UOM_RANK,PROD_HIER,UOM_EA_EANUPC,UOM_CSE_EAN13_EANUPC,UOM_CSE_ITF14_EANUPC,UOM_CSE_UCC12_EANUPC,UOM_DS_ITF14_EANUPC,UOM_DS_UCC12_EANUPC,UOM_MO_ITF14_EANUPC,UOM_MO_UCC12_EANUPC,UOM_PAL_ITF14_EANUPC,UOM_ZIN_UCC12_EANUPC
CA01,H.Y. LOUIE,5700000598,HEINZ APPLE CIDER VINEGAR                    ,,589660,CA2000261,000000570000059800,CSE,10057000005983,03,1,1,1660890027073AEAEO,57000005986,,10057000005983,,,,,,20057000005980,
CA01,Pasquier,6020000165,,,,CA2000318,000000602000016500,CSE,10060200001655,03,1,1,189056102569VI09V1,60200001658,,10060200001655,,,,,,20060200001652,
CA01,LCL,5700000371,,,,CA2000287,000000570000037100,CSE,10057000003712,03,1,1,1670894027155AHAFZ,57000003715,,10057000003712,,,,,,20057000003719,
CA01,FEDERATED CO-OP,6810089661,KR X/VRGN OLV OIL ITALIAN,475ML,,CA2000248,000000681008966100,CSE,10068100896616,03,1,1,054010603380DU1XC8,68100896619,,10068100896616,,,,,,20068100896613,
CA01,Walmart,6420032788,GS TOMATO,,9277530,CA2000358,000000642001810600,CSE,10064200181065,03,1,1,2341187027343JM61P,64200327886,,10064200181065,,,,,,20064200181062,
CA01,SAVE ON FOODS,6618809040,TASSIMO TIM HORTONSORIGINAL BLEND 14PK PK,,3238773,CA2000316,000000661880904000,CSE,10066188090407,03,1,1,064055101646HZ5XE0,66188090400,,10066188090407,,,,,,20066188090404,
CA01,Pasquier,6810002408,,,,CA2000318,000000681000240800,CSE,10068100024088,03,1,1,012081702387TI42TW,68100024081,,10068100024088,,,,,,20068100024085,
CA01,Metro,6810002482,,,29630406,CA2000301,000000681000248200,CSE,10068100024828,03,1,1,012131401667TI07TV,68100024821,,10068100024828,,,,,,20068100024825,
CA01,Shoppers Drug Mart,66188005534,,,,CA2000295,000000661880055300,CSE,10066188005531,03,1,1,1890792022362KGA2M,66188005534,,10066188005531,,,,,,20066188005538,
CA01,Walmart,5700000053,STR APPLE JC,,2861095,CA2000358,000000570000356500,CSE,10057000035652,YD,2,1,1941182027270JKJYW,57000000530,,10057000035652,,,,,,20057000035659,
